Circolo;name;par;neroCR;neroSlope;biancoCR;biancoSlope;gialloCR;gialloSlope;verdeCR;verdeSlope;bluCR;bluSlope;rossoCR;rossoSlope;arancioCR;arancioSlope
ACAYA;18 Buche Par 71;71;;;73,9;136;71,8;130;68,2;122;77,4;134;73,9;127;70,9;121
ACAYA;18 Buche Par 72;72;;;;;72,8;133;;;;;74,9;131;;
ACAYA;Prime Nove;36;;;;;36,4;125;34,3;116;;;37,2;122;35,7;116
ACAYA;Seconde Nove Par 35;35;;;;;35,4;135;33,7;127;;;36,7;131;35,2;126
ACAYA;Seconde Nove Par 36;36;;;;;36,4;141;;;;;37,8;137;;
ACQUABONA;18 Buche;68;;;;;68,3;131;;;;;70,6;119;;
ACQUABONA;Nove Buche;34;;;;;34,1;131;;;;;35,3;119;;
ALBISOLA;18 Buche par 64;64;;;;;62,4;105;60,4;99;;;62,8;108;62,8;108
ALBISOLA;18 buche par 65;65;;;;;62,6;107;60,6;101;;;63;109;;
ALBISOLA;18 buche par 66;66;;;;;62,8;108;60,8;102;;;63,2;110;;
ALBISOLA;9 Buche par 32;32;;;;;31,2;105;30,2;99;;;31,4;108;;
ALBISOLA;9 buche par 33;33;;;;;31,4;108;30,4;102;;;31,6;110;;
ALPINO;18 Buche;69;;;67,9;131;66,1;131;64;126;69,9;122;68,3;118;65,9;113
ALPINO;Prime Nove;35;;;34;132;33,1;132;31,9;127;35,1;123;34,3;118;;
ALPINO;Seconde Nove;34;;;33,8;131;33,1;131;;;34,8;122;34;117;;
ALTA BADIA;18 Buche;72;;;69,5;129;;;;;70,4;133;;;;
ALTA BADIA;9 Buche;36;;;34,8;129;;;;;35,2;133;;;;
AMBROSIANO;18 Buche;72;;;73;133;71,9;131;67,5;121;75,3;132;73,7;128;71,1;122
AMBROSIANO;Prime Nove;36;;;36,5;133;35,9;131;33,7;126;37,5;128;36,4;123;35,1;120
AMBROSIANO;Seconde Nove;36;;;36,5;133;36;130;33,9;125;37,8;135;37,2;133;35,9;130
ANTOGNOLLA;18 buche;71;;;72,1;129;70,5;125;66,6;116;74,1;125;71,6;120;;
ANTOGNOLLA;9 buche 2019;35;;;;;34,8;128;33;124;;;35,4;123;;
ANTOGNOLLA;prime nove;36;;;;;34,9;132;32,9;127;;;35,3;119;;
ANTOGNOLLA;seconde nove;35;;;;;35,6;118;33,7;114;;;36,3;120;;
AOSTA;18 Buche;62;;;;;61,1;112;58,6;106;;;59,2;107;59,2;107
AOSTA;9 Buche;31;;;;;30,6;112;29,3;106;;;29,6;107;;
APPIANO - CAREZZA;18 Buche;70;;;;;68,5;126;64,8;117;;;70,6;128;67,6;122
APPIANO - CAREZZA;18 buche;70;74,1;121;72,4;117;70,2;112;67,4;106;71,4;123;68;116;64,8;109
APPIANO - CAREZZA;Nove buche;35;37,1;121;36,2;117;35,1;112;33,7;105;35,7;123;34;116;32,4;109
APPIANO - CAREZZA;Nove Buche;35;;;;;34,3;126;32,4;117;;;35,3;128;33,8;122
ARCHI CLAUDIO;18 Buche;66;;;;;65,9;112;62,9;105;;;66,9;111;63,8;105
ARCHI CLAUDIO;Prime Nove;33;;;;;33;112;31,4;105;;;33,5;111;31,9;105
ARCHI CLAUDIO;US KIDS;33;;;;;31,5;106;;;;;33,5;111;;
ARENZANO;18 Buche;72;;;;;71;133;67,9;126;;;73;133;70,7;128
ARENZANO;Nove Buche;36;;;;;35,5;133;34;126;;;36,5;133;35,4;128
ARGENTA;18 Buche;72;;;72,8;126;71,9;125;68,3;117;74,4;129;73,6;128;70,8;122
ARGENTA;Prime Nove;36;;;36,2;129;35,7;127;34;123;37,1;129;36,7;128;35,2;125
ARGENTA;Seconde Nove;36;;;36,6;124;36,2;122;34,2;117;37,3;130;36,9;128;35,6;125
ARGENTARIO;18 Buche;71;;;74,1;141;72,4;138;69,5;131;76,4;143;72,9;135;69,9;129
ARGENTARIO;Prime Nove;36;;;36,8;143;36;141;34,5;138;38,1;144;36,5;137;35;134
ARGENTARIO;Seconde Nove;35;;;37,3;139;36,4;135;34,9;132;38,3;141;36,4;134;34,9;131
ARONA;18 buche;70;;;;;68,8;129;66;123;;;70;125;;
ARONA;Prime Nove;35;;;;;34;131;32,5;124;;;34,8;120;;
ARZAGA;Gary P. 1-9;36;;;;;35;128;33,7;125;;;35,7;123;34,3;120
ARZAGA;Gary Player;72;;;71,8;133;69,9;128;;;72,2;125;71,4;123;;
ARZAGA;GP1 + JN1;72;;;72,5;130;70,9;125;68,2;119;72,3;124;72,1;124;69,4;118
ARZAGA;GP1 + JN2;72;;;72,6;134;70,8;129;67,9;122;73,5;129;72,1;127;69,4;121
ARZAGA;Jack N. 1-9;36;;;;;35,9;124;34,5;121;;;36,4;125;35;122
ARZAGA;Jack Nicklaus;72;;;73,2;130;71,7;126;68,8;119;73,6;129;72,8;128;70;122
ASIAGO;18 Buche;71;;;72,5;127;70,2;124;66,4;115;73,5;127;70,8;124;67,7;117
ASIAGO;Prime Nove;36;;;36,5;128;35,3;121;33,7;117;37,3;128;35,5;125;34,1;122
ASIAGO;Seconde Nove;35;;;36;125;34,9;126;32,9;121;36,2;126;35,3;123;33,6;119
ASOLO;Giallo-Giallo;72;;;73,1;136;71,6;132;;;74,8;131;72,8;127;;
ASOLO;Giallo-Verde;72;;;73,2;137;71,6;131;68,7;124;75,1;137;72,8;132;69,2;125
ASOLO;Percorso Giallo 9 buche;36;;;36,5;136;35,8;132;34,4;126;37,4;131;36,4;127;35,3;121
ASOLO;Percorso Rosso 9 buche;36;;;36,8;141;35,8;137;34,3;129;37,8;129;36,7;122;35,2;116
ASOLO;Percorso Verde 9 buche;36;;;36,7;138;35,7;133;34,3;127;37,6;143;36,5;137;34,5;129
ASOLO;Rosso-Giallo;72;;;73,3;138;71,7;134;68,8;127;75,2;130;73,1;124;70;118
ASOLO;Rosso-Verde;72;;;73,5;139;71,6;135;68,7;128;75,4;137;73,1;129;69,5;121
ASOLO;Verde-Rosso;72;;;73,5;139;;;;;75,4;137;;;;
BAGNAIA;18 Buche;71;;;73,6;147;71,2;141;68,8;135;74,9;141;72,2;135;69,7;130
BAGNAIA;Prime Nove;36;;;37;153;35,8;147;34,6;141;37,3;144;35,9;138;34,6;133
BAGNAIA;Seconde Nove;35;;;36,6;141;35,4;135;34,2;129;37,6;138;36,3;132;35;127
BARIALTO;18 Buche;70;;;;;70,1;125;66;116;;;70,3;120;66,2;111
BARIALTO;Prime Nove;36;;;;;35,2;128;33,1;123;;;35,3;120;33,3;116
BARIALTO;Seconde Nove;34;;;;;34,9;122;33;117;;;35;120;32,9;116
BARLASSINA;Campionato;72;;;72,9;135;71,6;132;68,8;126;74,3;126;74,1;126;73,3;124
BARLASSINA;Prime Nove;36;;;35,9;133;35,3;130;34,2;125;37;121;36,6;119;36,2;118
BARLASSINA;Seconde Nove;36;;;37;138;36,3;135;;;37,3;132;37,5;131;;
BELLOSGUARDO;monnalisa 70;70;;;;;72,4;128;68,8;120;;;72,6;124;69,4;118
BELLOSGUARDO;Monnalisa New;71;;;74,6;133;72,8;129;69,2;121;76,6;133;72,9;125;69,6;118
BELLOSGUARDO;Monnalisa New Prime Nove;36;;;;;36,3;129;34,6;121;;;36,5;125;34,8;118
BELLOSGUARDO;Monnalisa par 35;35;;;;;35,9;128;34,2;120;;;36,2;124;34,6;118
BERGAMO ALBENZA;Blu;36;;;;;35,8;137;34,7;132;;;36,9;127;36;125
BERGAMO ALBENZA;Blu-Giallo;72;;;73,1;137;71,8;136;69,5;131;75,5;133;74,7;131;72,1;125
BERGAMO ALBENZA;Giallo;36;;;;;36;135;34,8;129;;;37,8;135;36,1;125
BERGAMO ALBENZA;Rosso;36;;;;;35,8;136;34,7;131;;;36,1;132;35,9;131
BERGAMO ALBENZA;Rosso-Blu;72;;;72,6;137;70,9;134;69,4;132;74,4;134;73,4;131;71,9;128
